pref,muni,code,did_pop,did_pop_pct,urban,urban_naisui,records,years,first_year,last_year,area_takuchi_km2,area_km2,yukaue,yukashita,buildings,buildings_台風,buildings_梅雨前線,buildings_豪雨・その他,buildings_その他,kubochi_records,has_a51,hires_dem_pref
福岡県,大牟田市,40202,91868,82.5,True,True,16,6,2018,2023,0.011,0.162,70.0,108.0,178.0,17.0,153.0,8.0,0.0,4,True,False
静岡県,沼津市,22203,162233,85.7,True,True,27,9,2010,2023,0.609,1.63,93.0,83.0,176.0,123.0,36.0,17.0,0.0,1,False,True
京都府,京都市左京区,26103,150655,90.7,True,True,29,7,2010,2020,0.014,0.014,30.0,145.0,175.0,131.0,8.0,36.0,0.0,0,False,False
愛知県,岡崎市,23202,299580,77.9,True,True,72,6,2011,2023,0.051,0.068,48.0,127.0,175.0,161.0,1.0,13.0,0.0,1,False,False
岩手県,盛岡市,03201,235450,81.3,True,True,119,5,2010,2022,0.247,2.369,2.0,166.0,168.0,0.0,0.0,168.0,0.0,1,False,False
宮城県,仙台市泉区,04105,179796,84.7,True,True,11,7,2010,2019,0.034,3.099,89.0,76.0,165.0,159.0,0.0,6.0,0.0,1,False,False
大阪府,大阪市旭区,27117,89670,100.0,True,True,2,1,2012,2012,0.015,0.015,10.0,154.0,164.0,0.0,0.0,164.0,0.0,0,False,False
東京都,杉並区,13115,591108,100.0,True,True,157,11,2010,2023,0.016,0.016,115.0,48.0,163.0,9.0,10.0,144.0,0.0,0,False,True
兵庫県,伊丹市,28207,197972,99.9,True,True,50,4,2010,2014,0.015,0.015,53.0,110.0,163.0,0.0,1.0,162.0,0.0,0,False,True
愛知県,名古屋市熱田区,23109,66957,100.0,True,True,15,4,2013,2021,0.47,0.47,48.0,114.0,162.0,0.0,1.0,161.0,0.0,0,False,False
愛知県,清須市,23233,58154,86.3,True,True,34,3,2012,2016,0.542,0.542,5.0,156.0,161.0,1.0,0.0,160.0,0.0,0,False,False
鳥取県,鳥取市,31201,103827,55.2,True,True,76,6,2011,2023,0.134,0.299,32.0,128.0,160.0,93.0,62.0,5.0,0.0,1,True,True
奈良県,田原本町,29363,18796,60.3,True,True,29,6,2010,2023,0.167,0.208,10.0,146.0,156.0,82.0,6.0,68.0,0.0,2,False,False
埼玉県,吉川市,11243,59702,82.9,True,True,25,4,2011,2023,0.115,0.115,49.0,102.0,151.0,149.0,0.0,2.0,0.0,9,False,False
大阪府,大阪市天王寺区,27109,82148,100.0,True,True,3,1,2012,2012,0.014,0.014,3.0,145.0,148.0,1.0,0.0,147.0,0.0,0,False,False
滋賀県,栗東市,25208,48038,69.8,True,True,28,5,2010,2021,0.072,0.072,6.0,141.0,147.0,137.0,1.0,9.0,0.0,0,False,False
愛知県,名古屋市港区,23111,136046,94.6,True,True,36,4,2012,2020,1.938,1.938,30.0,116.0,146.0,2.0,0.0,144.0,0.0,0,False,False
千葉県,千葉市中央区,12101,204864,96.8,True,True,22,7,2012,2023,0.03,0.03,23.0,122.0,145.0,122.0,1.0,22.0,0.0,2,False,False
大阪府,大阪市東住吉区,27121,127849,100.0,True,True,1,1,2012,2012,0.011,0.011,3.0,140.0,143.0,0.0,0.0,143.0,0.0,0,False,False
愛知県,小牧市,23219,117528,79.0,True,True,46,5,2013,2019,0.068,0.068,6.0,133.0,139.0,4.0,0.0,135.0,0.0,0,False,False
神奈川県,鎌倉市,14204,166447,96.4,True,True,4,1,2014,2014,0.007,0.007,96.0,43.0,139.0,139.0,0.0,0.0,0.0,0,False,True
神奈川県,川崎市川崎区,14131,232965,100.0,True,True,39,4,2013,2019,0.014,0.014,59.0,80.0,139.0,79.0,12.0,48.0,0.0,0,False,True
北海道,岩見沢市,01210,47022,59.3,True,True,11,2,2010,2012,0.764,2.335,53.0,86.0,139.0,0.0,0.0,139.0,0.0,0,False,False
神奈川県,横浜市瀬谷区,14114,118102,96.3,True,True,17,5,2013,2019,0.015,0.015,16.0,121.0,137.0,110.0,0.0,27.0,0.0,9,False,True
神奈川県,川崎市多摩区,14135,221687,100.0,True,True,5,4,2013,2019,0.011,0.011,55.0,82.0,137.0,115.0,0.0,22.0,0.0,0,False,True
愛知県,名古屋市東区,23102,84392,100.0,True,True,21,6,2011,2019,2.239,2.239,8.0,128.0,136.0,16.0,0.0,120.0,0.0,0,False,False
