rank,pref,pref_code,muni,did_pop_pct,yukaue,yukashita,buildings,takuchi_share,first_year,last_year,years,has_a51,a51_km2,hires_dem_pref,hires_dem,wards,typhoon_share,tsuyu_share,gou_share,etc_share
37,栃木県,9,小山市,61.2,249.0,683.0,932.0,0.32093273221270113,2011,2019,6,False,,False,,,0.9860515021459227,0.0,0.013948497854077254,0.0
38,大阪府,27,高槻市,95.2,240.0,652.0,892.0,1.0,2012,2013,2,False,,False,,,0.01905829596412556,0.0,0.9809417040358744,0.0
39,富山県,16,高岡市,50.4,274.0,606.0,880.0,0.8562980484920165,2011,2023,6,False,,False,,,0.0,0.0011363636363636363,0.9988636363636364,0.0
40,埼玉県,11,川越市,80.9,326.0,550.0,876.0,0.9475524475524477,2011,2022,6,True,7.69,False,,,0.9840182648401826,0.0,0.01598173515981735,0.0
41,埼玉県,11,川口市,98.1,270.0,574.0,844.0,1.0,2010,2023,8,False,,False,,,0.24289099526066352,0.002369668246445498,0.754739336492891,0.0
42,高知県,39,高知市,81.4,318.0,459.0,777.0,1.0,2010,2015,3,False,,False,,,0.6898326898326899,0.0,0.31016731016731014,0.0
43,山口県,35,山口市,51.0,154.0,621.0,775.0,0.9915254237288136,2010,2023,6,False,,False,,,0.0012903225806451613,0.6219354838709678,0.3767741935483871,0.0
44,広島県,34,呉市,66.5,284.0,472.0,756.0,1.0,2010,2018,3,False,,False,,,0.5251322751322751,0.4748677248677249,0.0,0.0
45,兵庫県,28,加古川市,78.2,161.0,563.0,724.0,0.9612992398064961,2011,2018,7,False,,True,DEM・DSM 1m,,0.9668508287292817,0.03314917127071823,0.0,0.0
46,宮崎県,45,宮崎市,69.1,194.0,526.0,720.0,0.27001929570670524,2012,2022,9,False,,False,,,0.9888888888888889,0.0,0.011111111111111112,0.0
47,長野県,20,長野市,73.0,28.0,686.0,714.0,0.5444954128440367,2010,2023,9,True,0.49,False,,,0.48179271708683474,0.4271708683473389,0.09103641456582633,0.0
48,新潟県,15,見附市,63.3,94.0,602.0,696.0,0.9133663366336633,2010,2017,5,False,,False,,,0.0,0.5876436781609196,0.41235632183908044,0.0
49,千葉県,12,千葉市,91.5,209.0,471.0,680.0,0.9929078014184397,2010,2023,7,False,,False,,中央区 145、稲毛区 121、緑区 87、若葉区 57…,0.5367647058823529,0.011764705882352941,0.4514705882352941,0.0
50,埼玉県,11,ふじみ野市,93.7,301.0,356.0,657.0,1.0,2015,2019,4,False,,False,,,1.0,0.0,0.0,0.0
51,岐阜県,21,多治見市,50.4,442.0,212.0,654.0,1.0,2010,2013,3,False,,False,,,0.9235474006116208,0.05963302752293578,0.016819571865443424,0.0
52,岐阜県,21,大垣市,60.5,15.0,633.0,648.0,0.6419354838709678,2011,2022,6,False,,False,,,0.2700617283950617,0.0,0.7299382716049383,0.0
53,富山県,16,富山市,59.6,50.0,579.0,629.0,1.0,2010,2023,11,True,1.28,False,,,0.022257551669316374,0.006359300476947536,0.9713831478537361,0.0
54,大阪府,27,大東市,98.8,48.0,571.0,619.0,1.0,2012,2017,3,False,,False,,,0.0016155088852988692,0.006462035541195477,0.9919224555735057,0.0
