pref,muni,records,years,first_year,last_year,area_takuchi_km2,yukaue,yukashita,kubochi_records,buildings
長崎県,南島原市,12,5,2010,2017,0.025,2.0,23.0,5,25.0
埼玉県,深谷市,24,4,2011,2019,0.009,0.0,25.0,2,25.0
大阪府,四條畷市,3,1,2012,2012,0.09,6.0,19.0,0,25.0
神奈川県,相模原市緑区,24,3,2016,2019,0.008,0.0,25.0,0,25.0
徳島県,松茂町,8,4,2011,2015,0.01,5.0,20.0,0,25.0
熊本県,熊本市中央区,13,4,2012,2020,0.008,5.0,20.0,1,25.0
福岡県,大野城市,13,3,2010,2014,0.009,3.0,22.0,0,25.0
鹿児島県,湧水町,5,2,2020,2021,0.179,11.0,14.0,0,25.0
三重県,熊野市,10,1,2011,2011,0.006,3.0,22.0,0,25.0
鹿児島県,徳之島町,5,2,2010,2015,0.013,1.0,24.0,0,25.0
滋賀県,近江八幡市,6,3,2013,2018,0.022,8.0,17.0,1,25.0
福岡県,北九州市八幡西区,5,3,2013,2017,0.003,11.0,13.0,0,24.0
大阪府,大阪市大正区,4,2,2012,2015,0.001,2.0,22.0,0,24.0
岩手県,大船渡市,15,4,2010,2015,0.003,5.0,19.0,0,24.0
三重県,菰野町,7,1,2010,2010,0.005,2.0,22.0,0,24.0
愛知県,東海市,2,1,2019,2019,0.004,12.0,12.0,2,24.0
福島県,塙町,1,1,2011,2011,0.002,0.0,24.0,0,24.0
愛知県,大口町,24,3,2011,2017,0.004,1.0,23.0,0,24.0
富山県,黒部市,10,2,2010,2013,0.003,1.0,23.0,0,24.0
北海道,音更町,2,1,2016,2016,0.024,7.0,17.0,0,24.0
和歌山県,有田川町,19,1,2023,2023,0.013,16.0,8.0,13,24.0
大阪府,能勢町,4,1,2018,2018,0.002,14.0,10.0,0,24.0
北海道,帯広市,6,3,2011,2017,0.414,2.0,22.0,0,24.0
高知県,安芸市,8,1,2012,2012,0.016,3.0,21.0,0,24.0
群馬県,下仁田町,6,2,2010,2019,0.023,12.0,12.0,1,24.0
大阪府,田尻町,2,2,2014,2016,0.002,3.0,21.0,1,24.0
島根県,川本町,28,6,2011,2021,0.07,14.0,10.0,0,24.0
北海道,上ノ国町,6,2,2010,2017,0.008,0.0,24.0,0,24.0
大分県,日出町,3,1,2012,2012,0.009,7.0,17.0,0,24.0
福岡県,東峰村,4,1,2012,2012,0.003,0.0,23.0,0,23.0
鹿児島県,いちき串木野市,2,2,2020,2023,0.09,4.0,19.0,2,23.0
栃木県,茂木町,12,4,2011,2017,0.002,5.0,18.0,1,23.0
千葉県,酒々井町,2,1,2013,2013,0.025,2.0,21.0,1,23.0
北海道,滝川市,10,2,2010,2016,0.002,4.0,19.0,0,23.0
福岡県,豊前市,15,3,2012,2018,0.002,6.0,17.0,0,23.0
福岡県,糸島市,28,3,2010,2019,0.016,8.0,15.0,2,23.0
和歌山県,古座川町,6,2,2017,2018,0.008,21.0,2.0,0,23.0
青森県,藤崎町,28,4,2011,2014,0.003,0.0,23.0,0,23.0
石川県,津幡町,16,2,2013,2023,0.002,0.0,23.0,8,23.0
大阪府,大阪市福島区,1,1,2012,2012,0.002,2.0,21.0,0,23.0
滋賀県,彦根市,36,5,2013,2021,0.006,1.0,22.0,12,23.0
高知県,中土佐町,2,2,2014,2017,0.001,0.0,23.0,0,23.0
栃木県,下野市,8,3,2011,2015,0.028,13.0,10.0,0,23.0
北海道,新ひだか町,22,4,2010,2018,0.011,1.0,21.0,17,22.0
秋田県,美郷町,88,3,2017,2023,0.01,1.0,21.0,0,22.0
宮崎県,えびの市,15,2,2010,2011,0.002,2.0,20.0,0,22.0
埼玉県,毛呂山町,3,3,2016,2022,0.008,6.0,16.0,0,22.0
福岡県,北九州市若松区,9,3,2011,2017,0.004,3.0,19.0,0,22.0
石川県,志賀町,17,5,2010,2022,0.004,0.0,22.0,0,22.0
滋賀県,湖南市,11,1,2013,2013,0.005,7.0,15.0,0,22.0
埼玉県,熊谷市,13,4,2011,2019,0.004,9.0,13.0,1,22.0
埼玉県,さいたま市北区,17,6,2013,2023,0.02,2.0,20.0,0,22.0
三重県,度会町,11,1,2011,2011,0.037,19.0,3.0,0,22.0
東京都,清瀬市,5,4,2016,2020,0.001,8.0,14.0,0,22.0
山形県,尾花沢市,11,3,2010,2020,0.017,3.0,19.0,0,22.0
高知県,香南市,10,3,2010,2018,0.11,6.0,16.0,0,22.0
山梨県,身延町,14,1,2011,2011,0.005,5.0,17.0,0,22.0
鳥取県,南部町,13,4,2011,2021,0.003,7.0,14.0,0,21.0
大阪府,大阪市阿倍野区,3,2,2012,2019,0.001,0.0,21.0,0,21.0
神奈川県,伊勢原市,11,2,2014,2016,0.005,3.0,18.0,0,21.0
北海道,せたな町,41,5,2010,2017,0.005,1.0,20.0,0,21.0
宮城県,大郷町,24,5,2011,2023,0.011,9.0,12.0,1,21.0
大阪府,堺市北区,5,1,2012,2012,0.002,0.0,21.0,0,21.0
鹿児島県,長島町,4,1,2020,2020,0.023,3.0,18.0,1,21.0
宮城県,亘理町,31,1,2019,2019,0.018,7.0,14.0,0,21.0
愛知県,大府市,2,2,2013,2017,0.005,10.0,11.0,0,21.0
宮城県,東松島市,40,6,2011,2019,0.009,0.0,21.0,0,21.0
青森県,むつ市,19,3,2013,2016,0.006,2.0,19.0,0,21.0
山梨県,都留市,7,2,2017,2018,0.003,4.0,17.0,0,21.0
徳島県,美馬市,14,3,2011,2018,0.317,9.0,12.0,0,21.0
鳥取県,米子市,13,4,2010,2018,0.004,3.0,18.0,0,21.0
千葉県,君津市,13,3,2013,2019,0.005,3.0,18.0,5,21.0
京都府,京田辺市,11,5,2011,2019,0.002,1.0,20.0,0,21.0
群馬県,渋川市,14,2,2010,2016,0.004,3.0,17.0,0,20.0
埼玉県,小川町,10,2,2015,2019,0.01,12.0,8.0,1,20.0
神奈川県,座間市,15,2,2010,2013,0.004,6.0,14.0,0,20.0
千葉県,四街道市,3,3,2010,2015,0.004,2.0,18.0,1,20.0
沖縄県,名護市,8,2,2014,2021,0.005,15.0,5.0,3,20.0
宮城県,大衡村,3,2,2019,2022,0.029,4.0,16.0,0,20.0
三重県,亀山市,7,1,2012,2012,0.001,9.0,11.0,1,20.0
山形県,最上町,13,2,2015,2018,0.004,3.0,17.0,0,20.0
群馬県,沼田市,7,7,2010,2022,0.017,2.0,18.0,0,20.0
